tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001038862216,"[0.01, 0.01, 1.0, 0.01, 1.0]","[1, 75, 2914, 3, 324]","[0.01, 2978.78, 864912.91, 0.01, 1173548.75]",3919.27428818448,0.0453619709280611
989.001040933545,"[1.0, 1.0, 0.01, 0.01]","[43, 12, 8, 48]","[166492.44, 343.39, 59.43, 19967.3]",3904.76718430233,0.0451940646331288
989.00104191794,"[1.0, 1.0]","[6, 8]","[287.31, 30744.61]",3890.96125,0.0450342737268519
989.001038855722,"[1.0, 0.01]","[2, 1]","[7775.44, 0.01]",3887.7201,0.0449967604166667
989.001042809433,"[0.01, 1.0]","[2, 9]","[5038.22, 34732.66]",3884.37554444445,0.0449580502829218
989.001042042739,"[1.0, 0.01]","[4, 1]","[15488.35, 0.01]",3872.0876,0.0448158287037037
989.001040930092,"[1.0, 0.01]","[19, 1]","[73515.55, 0.01]",3869.23957368421,0.0447828654361598
989.001038723013,"[1.0, 0.01, 1.0]","[9, 9, 54]","[0.01, 0.01, 208718.26]",3865.15408518519,0.0447355796896434
989.001041745104,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[30, 5, 5, 40, 15, 15, 10, 10, 25, 10, 50, 10]","[33274.43, 0.01, 0.01, 340.65, 494.06, 181.99, 92.56, 37.67, 55859.12, 41.82, 21820.85, 232.15]",3822.64294916667,0.044243552652392
989.002028427305,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0]","[6, 6, 57, 158, 48, 6, 12, 6, 20, 7, 35, 14, 28, 56, 7, 7, 28, 35, 7, 7, 21, 28, 7, 7, 63, 70, 7, 126, 7, 21, 112, 7, 28, 7, 14, 8]","[0.01, 0.01, 569.62, 169707.47, 26958.74, 0.01, 435.19, 0.01, 5544.36, 0.01, 63423.93, 24499.45, 56978.38, 25295.12, 0.01, 0.01, 67960.51, 5128.8, 0.01, 0.01, 57932.76, 13955.01, 0.01, 0.01, 46134.28, 60129.65, 0.01, 82605.48, 0.01, 1606.26, 164582.85, 0.01, 63524.99, 0.01, 245229.32, 199.86]",3819.10882849885,0.0442026484779959
989.001038743092,"[1.0, 0.01, 1.0]","[27, 5, 5]","[103012.17, 0.01, 0.01]",3815.26757555556,0.044158189531893
989.00104173847,"[0.01, 1.0, 1.0, 1.0, 1.0, 0.01]","[4, 4, 8, 8, 8, 4]","[0.01, 0.01, 1617.75, 712.34, 28055.29, 0.01]",3798.17505,0.043960359375
989.001040932605,"[0.01, 1.0, 1.0, 0.01, 1.0, 0.01, 0.01]","[7, 112, 28, 7, 20, 8, 8]","[0.01, 419079.79, 237.52, 0.01, 247.27, 59.36, 945.8]",3763.886675,0.0435635031828704
989.001045739992,"[0.01, 1.0, 0.01]","[23, 3, 9]","[8549644.11, 0.01, 41310.37]",3763.14031400966,0.0435548647454822
989.001042042405,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[1, 1, 3, 1, 110, 12, 56]","[0.01, 0.01, 157106.37, 0.01, 7416219.87, 28916.87, 837156.35]",3757.14117838745,0.0434854303054103
989.001038857712,"[1.0, 1.0, 0.01]","[4, 80, 8]","[0.01, 300128.64, 0.01]",3751.6105125,0.04342141796875
989.001039379178,[1.0],[24],[90023.24],3750.96833333333,0.0434139853395062
989.00103872566,"[1.0, 1.0]","[1, 51]","[0.01, 190249.89]",3730.4,0.0431759259259259
989.001045735286,"[1.0, 0.01, 1.0]","[4, 8, 3]","[0.01, 2984082.33, 0.01]",3730.10874583333,0.0431725549286265
